name,type,Average,Variance,Std,Min,Max,Geometric_mean,Harmonic_mean
zzzzzz.xxxxxx.cccccc,Malware,14.84818905,1555.128856,39.43512211,3,500,9.457658911,8.38315805
zzzzzz.xxxxxx.cccccc,Malware,16.81276119,2576.140945,50.75569865,3.512,500,10.03117908,8.913517486
zzzzzz.xxxxxx.cccccc,Malware,15.81902488,2551.807135,50.51541482,3.304,500,9.48571938,8.610951215
zzzzzz.xxxxxx.cccccc,Malware,27.3511,3282.270573,57.29110379,2.745,500,14.61354711,10.9138257
zzzzzz.xxxxxx.cccccc,Malware,19.52872277,2983.972384,54.62574836,2.903,500,10.19579574,8.547610898
zzzzzz.xxxxxx.cccccc,Malware,31.1569901,4680.681313,68.41550491,3.603,500,14.11584401,10.54263435
zzzzzz.xxxxxx.cccccc,Malware,17.12586567,2593.459149,50.92601643,3.505,500,10.21898305,9.048507035
zzzzzz.xxxxxx.cccccc,Malware,16.53461,1537.53834,39.21145675,4.446,500,11.53586642,10.47285399
zzzzzz.xxxxxx.cccccc,Malware,24.08014356,3524.204883,59.36501396,2.686,500,11.33679946,8.89404967
zzzzzz.xxxxxx.cccccc,Malware,18.02528713,2698.882022,51.95076536,2.482,500,10.8235686,9.467711964
zzzzzz.xxxxxx.cccccc,Malware,13.02093,1291.895387,35.94294628,3.228,500,9.576125903,8.854117751
zzzzzz.xxxxxx.cccccc,Malware,19.9318209,2628.686321,51.27071602,2.857,500,12.20850458,10.43580679
zzzzzz.xxxxxx.cccccc,Malware,21.88608955,2916.911022,54.00843473,3.256,500,12.57740075,10.59481481
zzzzzz.xxxxxx.cccccc,Malware,18.78173134,2736.35909,52.31021975,4.024,500,11.00257241,9.72435582
zzzzzz.xxxxxx.cccccc,Malware,17.64922886,2504.845995,50.04843649,4.259,500,11.4425894,10.3810258
zzzzzz.xxxxxx.cccccc,Malware,17.86685572,2701.908957,51.97988993,3.08,500,10.18940529,8.892741881
zzzzzz.xxxxxx.cccccc,Malware,23.34002463,5176.050747,71.94477568,3.505,500,10.98159831,9.570376834
zzzzzz.xxxxxx.cccccc,Malware,12.98783,1283.219037,35.82204679,3.537,500,9.687235065,9.016991999
zzzzzz.xxxxxx.cccccc,Malware,14.80202,1454.003253,38.13139459,3.161,500,9.749617535,8.660934013
zzzzzz.xxxxxx.cccccc,Malware,16.06996517,2569.103643,50.686326,3.06,500,9.563945625,8.597546847
